name,location,location,rate,votes,cost,cuisines,lat,lon
The Boozy Griffin,Koramangala 5th Block,Koramangala 5th Block,4.6,4997,1800.0,"European, Continental",13.006701532503298,77.57601371036249
Smoor,Bannerghatta Road,Jayanagar,3.6,17,900.0,"Desserts, Cafe, Beverages",13.069826449597702,77.6377607328141
Hotel Oottupura,Ejipura,Koramangala 5th Block,3.6,21,200.0,South Indian,13.02240077946629,77.55503258099714
Roots,Koramangala 1st Block,Koramangala 4th Block,4.5,1888,1200.0,"North Indian, South Indian, Chinese, Continental, Mangalorean",12.974184685021813,77.56479780730388
Krishna Vaibhava,BTM,JP Nagar,3.5,40,350.0,"North Indian, South Indian",13.031946306452152,77.58534478492028
Ivy,Kumaraswamy Layout,JP Nagar,3.8,210,600.0,"North Indian, Chinese, Fast Food",13.082082217915623,77.61213650528482
Arabian Bites,BTM,Koramangala 4th Block,3.4,24,500.0,"North Indian, Chinese",12.90242749166304,77.67348112391849
Red Lantern,Cunningham Road,Residency Road,3.7,162,700.0,"Chinese, Thai",12.976057049666908,77.62099596259833
Haagen Dazs,Koramangala 7th Block,Koramangala 5th Block,3.9,79,800.0,"Ice Cream, Desserts",13.052683562844134,77.69650090470469
Ambur Biryani Point,Koramangala 1st Block,HSR,4.2,425,250.0,"Biryani, Kebab",13.048666582713132,77.62747227823519
Stoner,Indiranagar,Old Airport Road,4.4,2699,550.0,"Ice Cream, Pizza, Beverages",12.9558557275797,77.66134365203779
Oliver Wraps,HSR,Koramangala 6th Block,3.1,8,300.0,"Rolls, Fast Food",12.951873164233499,77.54604717066198
Khan's Biryani,BTM,Jayanagar,3.0,11,200.0,"Biryani, North Indian",13.051324557617988,77.68619389829767
The Mylapore Cafe,HSR,Koramangala 7th Block,4.1,121,200.0,"South Indian, Kerala",12.947152302572714,77.57765879065151
Refresh,Brookefield,Marathahalli,3.2,503,500.0,"Cafe, Beverages",12.973477457830391,77.51280062182835
China Bowl,Koramangala 6th Block,Koramangala 4th Block,3.9,455,1000.0,Chinese,13.065534227113838,77.51787495557699
Raj Rasoi,Ejipura,BTM,3.5,12,250.0,"North Indian, Chinese",12.933251066069941,77.53962897621936
Cinnamon,Seshadripuram,Rajajinagar,3.7,28,1000.0,"North Indian, Asian, Continental",12.917235765485607,77.58286496719671
Cool Lassi Burger,Koramangala 5th Block,BTM,3.1,7,200.0,"Beverages, Fast Food, Burger",12.92843627527747,77.60769611522501
Mudpipe Cafe,BTM,Koramangala 7th Block,4.5,1880,900.0,"Cafe, Continental, Burger",13.005703034231953,77.69857447108672
Cashmere Nites,Koramangala 6th Block,Koramangala 7th Block,3.5,74,600.0,Kashmiri,12.908973492612521,77.54751119224632
Helloo Delhi,Koramangala 4th Block,BTM,4.1,221,1000.0,North Indian,12.93583278365803,77.55953943295373
Masala Secret Eat WOW,HSR,HSR,3.6,14,300.0,"Street Food, Fast Food, Chinese, Momos",13.01614742795947,77.52115521411
BITEBOX,Marathahalli,Brookefield,4.4,150,300.0,"North Indian, Chinese, Fast Food, Beverages, Desserts",13.085726112423078,77.60172178952733
Lassi Corner,Koramangala 5th Block,Koramangala 6th Block,3.5,16,300.0,"Beverages, Desserts",13.01273360901866,77.67219673983566
Cakes & Slices,Banashankari,Banashankari,3.5,13,300.0,"Bakery, Desserts",13.0045465658764,77.52341743347097
Ovenstory Pizza,Hosur Road,Electronic City,4.0,55,750.0,Pizza,13.042940463276452,77.69451519414122
Pathaan Sir,Kammanahalli,Kammanahalli,3.3,58,300.0,"Rolls, Chinese",12.932807989415283,77.60035183467372
Ulavacharu,Koramangala 5th Block,Koramangala 6th Block,4.2,151,900.0,"Andhra, North Indian, Chinese",13.044429503748558,77.64472892276916
Alibaba Cafe and Restaurant,Kalyan Nagar,Kalyan Nagar,2.9,56,700.0,"Arabian, Middle Eastern",12.936826004616238,77.61553726840344
Patiala Zone,Marathahalli,Marathahalli,3.1,20,400.0,"North Indian, Mughlai",13.087849544575022,77.6677491010127
New Hilal Restaurant,Shivajinagar,Residency Road,4.0,111,700.0,"North Indian, Chinese, Mughlai",13.054760666249496,77.57987007347278
Swasthaa,Sanjay Nagar,Lavelle Road,3.5,5,600.0,"Continental, Desserts, Italian, Japanese, Mexican",13.043309813604658,77.64081605400546
Jayanthi Sagar,Koramangala 5th Block,Koramangala 7th Block,3.1,21,200.0,"South Indian, North Indian, Chinese",12.943132631963483,77.5495847151884
Sukh Sagar,Koramangala 5th Block,BTM,3.8,473,500.0,"South Indian, North Indian, Chinese, Street Food",12.93909160007368,77.66151608028089
Premium Bombay Kulfi,Indiranagar,Old Airport Road,3.5,11,100.0,Ice Cream,12.977515200080143,77.68231820567023
Bangalore Agarwal Bhavan,Whitefield,Whitefield,3.0,5,500.0,"Mithai, Street Food",13.06148839771891,77.5964510565441
Fatso's,Brigade Road,Koramangala 6th Block,3.8,74,650.0,"Cafe, American, Italian, Burger",13.052009441192196,77.52976638230629
